"Place","Athlete Name","Division","Affiliate","Total Points","Bundesland","MIXED MODAL (#27908) Rank","STRENGTH (#27909) Rank","BODYWEIGHT (#27910) Rank","ENDURANCE (#27911) Rank","SKILL (#27912) Rank","POWER (#27913) Rank","Team Members","MIXED MODAL (#27908) Result","MIXED MODAL (#27908) Points","STRENGTH (#27909) Result","STRENGTH (#27909) Points","BODYWEIGHT (#27910) Result","BODYWEIGHT (#27910) Points","ENDURANCE (#27911) Result","ENDURANCE (#27911) Points","SKILL (#27912) Result","SKILL (#27912) Points","POWER (#27913) Result","POWER (#27913) Points"
"1","Lisa Eble","Frauen","CROSSFIT BERN VIDMAR","515","Baden-Württemberg (Süd)","4","7","2","7","1","2",,"388","85","95","70","CAP +107  (03:38)","95","90","70","35","100","02:26","95"
"2","Jana Geertz","Frauen","FOERDE CROSSFIT","476","Schleswig-Holstein (Nord)","5","1","3","4","5","13",,"387","80","102.5","100","CAP +98  (03:43)","90","102","85","23","80","02:41","41"
"3","Julia Jakobsen","Frauen","ATHLETENSCHMIEDE KIEL","455","Schleswig-Holstein (Nord)","9","7","5","2","8","4",,"355","60","95","70","CAP +90  (03:42)","80","110","95","18","65","02:28","85"
"4","MAREN FISCHER","Frauen","CROSSFIT RODGAU","443","Hessen (West)","1","3","1","12","3","19",,"446","100","100","90","CAP +128  (03:09)","100","80","45","29","90","02:46","18"
"5","ULI GLÖCKNER","Frauen",,"397","Berlin (Ost)","6","7","9","9","14","2",,"377","75","95","70","CAP +79  (03:28)","60","85","60","11","37","02:26","95"
"6","SUSANNE KRAUS","Frauen","CROSSFIT BAYREUTH","388","Bayern (Süd)","3","19","7","1","4","17",,"414","90","85","18","CAP +83  (03:09)","70","111","100","25","85","02:45","25"
"7","Sarah Antonia Ziemens","Frauen","CROSSFIT GO AHEAD","336","Hamburg (Nord)","7","13","4","11","6","20",,"371","70","87.5","41","CAP +91  (03:23)","85","81","50","20","75","02:48","15"
"8","Laura Rückerl","Frauen","CROSSFIT AMBERG","336","Bayern (Süd)","14","11","6","8","16","5",,"338","37","90","50","CAP +84  (03:43)","75","87","65","7","29","02:32","80"
"9","LEONIE MEISSNER","Frauen","ATHLETENSCHMIEDE KIEL","315","Schleswig-Holstein (Nord)","11","13","16","6","11","7",,"346","50","87.5","41","CAP +62  (03:21)","29","96","75","14","50","02:34","70"
"10","SARAH BIRKEFELD","Frauen","SPREE CROSSFIT","304","Berlin (Ost)","16","13","10","16","7","5",,"331","29","87.5","41","CAP +76  (04:02)","55","58","29","19","70","02:32","80"
"11","Lina Bach","Frauen","CROSSFIT MAINZ","301","Rheinland-Pfalz (West)","13","4","21","5","11","15",,"343","41","97.5","85","CAP +59  (05:32)","12","98","80","14","50","02:42","33"
"12","Sonja Zschaler","Frauen","CROSSFIT FRIEDENSSTADT","256","Niedersachsen (Nord)","19","13","17","14","8","7",,"320","18","87.5","41","CAP +60  (03:30)","25","74","37","18","65","02:34","70"
"13","Sofie Halfmann","Frauen",,"244","Niedersachsen (Nord)","11","11","12","19","18","9",,"346","50","90","50","CAP +67  (04:11)","45","41","18","5","21","02:36","60"
"14","ELENA KROLLS","Frauen",,"242","Nordrhein-Westfalen (West)","15","4","15","18","13","16",,"336","33","97.5","85","CAP +63  (03:32)","33","54","21","13","41","02:43","29"
"15","Carolin Herold","Frauen",,"237","Sachsen (Ost)","9","19","11","10","22","12",,"355","60","85","18","CAP +70  (03:36)","50","82","55","0","9","02:40","45"
"16","Anne Haisch","Frauen","CROSSFIT CALW","236","Baden-Württemberg (Süd)","23","1","24","19","22","1",,"288","6","102.5","100","CAP +56  (08:49)","3","41","18","0","9","02:23","100"
"17","Helena Dröschel","Frauen","MUSKELWERKSTATT TRIER","221","Rheinland-Pfalz (West)","17","19","8","15","10","17",,"325","25","85","18","CAP +82  (04:12)","65","59","33","17","55","02:45","25"
"18","Irina Eusemann","Frauen","CROSSFIT TÜBINGEN","218","Baden-Württemberg (Süd)","8","13","22","13","21","11",,"358","65","87.5","41","CAP +59  (05:45)","9","78","41","2","12","02:39","50"
"19","Janina Vollat","Frauen","LUPARO FITNESS","169","Baden-Württemberg (Süd)","20","13","23","16","19","9",,"316","15","87.5","41","CAP +59  (09:14)","6","58","29","3","18","02:36","60"
"20","Elisabeth Heinz","Frauen","CROSSFIT KOKORO","152","Bayern (Süd)","24","10","13","24","22","13",,"260","3","92.5","55","CAP +66  (05:32)","41","0","3","0","9","02:41","41"
"21","Katrin Liebhardt","Frauen","CROSSFIT COLOGNE","94","Nordrhein-Westfalen (West)","21","23","19","22","14","21",,"300","12","82.5","6","CAP +59  (04:54)","18","32","9","11","37","02:58","12"
"22","MARTHE KERBER","Frauen","FOERDE CROSSFIT","93","Schleswig-Holstein (Nord)","18","19","20","21","19","22",,"322","21","85","18","CAP +59  (04:55)","15","38","12","3","18","03:03","9"
"23","Nadia Paulat","Frauen","KINGS AVENUE CROSSFIT","74","Niedersachsen (Nord)","22","24","18","23","16","23",,"298","9","80","3","CAP +60  (04:24)","21","27","6","7","29","CAP +12","6"
,"Lidia Barto","Frauen","CROSSFIT BERGISCH GLADBACH","-","Nordrhein-Westfalen (West)","2","4","14","3","2","24",,"423","95","97.5","85","CAP +65  (03:36)","37","106","90","31","95","WD",
